true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,20,16,0,2,0.684781313,3.758437192
1,20,12,0,0,0.684781313,3.758437192
1,20,17,7,0,0.684781313,3.758437192
1,20,12,1,0,0.684781313,3.758437192
1,20,13,0,1,0.684781313,3.758437192
1,20,17,0,0,0.684781313,3.758437192
1,20,15,3,0,0.684781313,3.758437192
1,20,10,0,2,0.684781313,3.758437192
1,20,14,0,2,0.684781313,3.758437192
1,20,17,1,0,0.684781313,3.758437192
1,20,15,0,3,0.684781313,3.758437192
1,20,11,0,3,0.684781313,3.758437192
1,20,17,0,0,0.684781313,3.758437192
1,20,19,0,5,0.684781313,3.758437192
1,20,10,0,2,0.684781313,3.758437192
1,20,11,0,3,0.684781313,3.758437192
1,20,15,0,3,0.684781313,3.758437192
1,20,11,0,3,0.684781313,3.758437192
1,20,13,0,2,0.684781313,3.758437192
1,20,12,0,1,0.684781313,3.758437192
0,20,8,0,0,0.684781313,3.758437192
0,20,12,8,0,0.684781313,3.758437192
0,20,12,3,0,0.684781313,3.758437192
0,20,8,5,0,0.684781313,3.758437192
0,20,12,10,0,0.684781313,3.758437192
0,20,17,11,0,0.684781313,3.758437192
0,20,11,12,0,0.684781313,3.758437192
0,20,17,10,0,0.684781313,3.758437192
0,20,12,3,0,0.684781313,3.758437192
0,20,8,5,0,0.684781313,3.758437192
0,20,17,12,0,0.684781313,3.758437192
0,20,12,11,0,0.684781313,3.758437192
0,20,21,7,0,0.684781313,3.758437192
0,20,12,8,0,0.684781313,3.758437192
0,20,14,9,0,0.684781313,3.758437192
0,20,8,7,0,0.684781313,3.758437192
0,20,8,6,0,0.684781313,3.758437192
0,20,8,7,0,0.684781313,3.758437192
0,20,11,14,0,0.684781313,3.758437192
0,20,8,4,0,0.684781313,3.758437192
1,20,7,0,0,0.738910675,4.361357629
1,20,17,0,2,0.738910675,4.361357629
1,20,16,0,1,0.738910675,4.361357629
1,20,7,2,0,0.738910675,4.361357629
1,20,15,4,0,0.738910675,4.361357629
1,20,12,6,0,0.738910675,4.361357629
1,20,18,2,0,0.738910675,4.361357629
1,20,13,0,1,0.738910675,4.361357629
1,20,15,3,0,0.738910675,4.361357629
1,20,12,0,5,0.738910675,4.361357629
1,20,14,0,2,0.738910675,4.361357629
1,20,16,0,1,0.738910675,4.361357629
1,20,16,0,3,0.738910675,4.361357629
1,20,19,0,4,0.738910675,4.361357629
1,20,25,0,6,0.738910675,4.361357629
1,20,13,0,6,0.738910675,4.361357629
1,20,11,0,4,0.738910675,4.361357629
1,20,7,0,0,0.738910675,4.361357629
1,20,18,0,0,0.738910675,4.361357629
1,20,12,0,5,0.738910675,4.361357629
0,20,7,1,0,0.738910675,4.361357629
0,20,15,13,0,0.738910675,4.361357629
0,20,7,7,0,0.738910675,4.361357629
0,20,7,5,0,0.738910675,4.361357629
0,20,7,9,0,0.738910675,4.361357629
0,20,7,5,0,0.738910675,4.361357629
0,20,7,9,0,0.738910675,4.361357629
0,20,7,8,0,0.738910675,4.361357629
0,20,15,8,0,0.738910675,4.361357629
0,20,15,14,0,0.738910675,4.361357629
0,20,7,5,0,0.738910675,4.361357629
0,20,15,16,0,0.738910675,4.361357629
0,20,15,13,0,0.738910675,4.361357629
0,20,7,9,0,0.738910675,4.361357629
0,20,12,0,0,0.738910675,4.361357629
0,20,7,3,0,0.738910675,4.361357629
0,20,19,11,0,0.738910675,4.361357629
0,20,7,12,0,0.738910675,4.361357629
0,20,7,4,0,0.738910675,4.361357629
0,20,7,4,0,0.738910675,4.361357629
1,20,7,1,0,0.642174482,3.88281548
1,20,13,0,4,0.642174482,3.88281548
1,20,7,2,0,0.642174482,3.88281548
1,20,7,0,0,0.642174482,3.88281548
1,20,7,3,0,0.642174482,3.88281548
1,20,7,2,0,0.642174482,3.88281548
1,20,7,2,0,0.642174482,3.88281548
1,20,9,0,2,0.642174482,3.88281548
1,20,9,0,0,0.642174482,3.88281548
1,20,11,0,2,0.642174482,3.88281548
1,20,9,0,2,0.642174482,3.88281548
1,20,11,0,2,0.642174482,3.88281548
1,20,13,0,4,0.642174482,3.88281548
1,20,12,0,5,0.642174482,3.88281548
1,20,18,0,3,0.642174482,3.88281548
1,20,8,0,1,0.642174482,3.88281548
1,20,20,0,2,0.642174482,3.88281548
1,20,7,0,0,0.642174482,3.88281548
1,20,12,0,5,0.642174482,3.88281548
1,20,7,1,0,0.642174482,3.88281548
0,20,9,3,0,0.642174482,3.88281548
0,20,9,4,0,0.642174482,3.88281548
0,20,19,9,0,0.642174482,3.88281548
0,20,7,10,0,0.642174482,3.88281548
0,20,15,12,0,0.642174482,3.88281548
0,20,15,7,0,0.642174482,3.88281548
0,20,7,4,0,0.642174482,3.88281548
0,20,9,4,0,0.642174482,3.88281548
0,20,7,8,0,0.642174482,3.88281548
0,20,15,10,0,0.642174482,3.88281548
0,20,7,3,0,0.642174482,3.88281548
0,20,9,5,0,0.642174482,3.88281548
0,20,9,6,0,0.642174482,3.88281548
0,20,15,16,0,0.642174482,3.88281548
0,20,7,3,0,0.642174482,3.88281548
0,20,15,13,0,0.642174482,3.88281548
0,20,15,12,0,0.642174482,3.88281548
0,20,15,9,0,0.642174482,3.88281548
0,20,7,5,0,0.642174482,3.88281548
0,20,9,6,0,0.642174482,3.88281548
1,20,13,2,0,0.715828657,3.414518642
1,20,13,3,0,0.715828657,3.414518642
1,20,21,0,2,0.715828657,3.414518642
1,20,14,0,3,0.715828657,3.414518642
1,20,20,3,0,0.715828657,3.414518642
1,20,20,4,0,0.715828657,3.414518642
1,20,11,0,0,0.715828657,3.414518642
1,20,13,0,0,0.715828657,3.414518642
1,20,15,0,4,0.715828657,3.414518642
1,20,19,0,4,0.715828657,3.414518642
1,20,15,0,4,0.715828657,3.414518642
1,20,13,1,0,0.715828657,3.414518642
1,20,13,2,0,0.715828657,3.414518642
1,20,18,0,3,0.715828657,3.414518642
1,20,14,0,3,0.715828657,3.414518642
1,20,20,4,0,0.715828657,3.414518642
1,20,20,5,0,0.715828657,3.414518642
1,20,18,0,3,0.715828657,3.414518642
1,20,14,0,3,0.715828657,3.414518642
