true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,20,14,6,0,0.858060837,6.130839932
1,20,14,3,0,0.858060837,6.130839932
1,20,14,3,0,0.858060837,6.130839932
1,20,13,0,0,0.858060837,6.130839932
1,20,6,1,0,0.858060837,6.130839932
1,20,14,2,0,0.858060837,6.130839932
1,20,6,1,0,0.858060837,6.130839932
1,20,18,0,2,0.858060837,6.130839932
1,20,8,0,2,0.858060837,6.130839932
1,20,6,0,0,0.858060837,6.130839932
1,20,18,0,4,0.858060837,6.130839932
1,20,9,0,3,0.858060837,6.130839932
1,20,15,0,1,0.858060837,6.130839932
1,20,18,0,5,0.858060837,6.130839932
1,20,14,2,0,0.858060837,6.130839932
1,20,6,0,0,0.858060837,6.130839932
1,20,7,0,1,0.858060837,6.130839932
1,20,10,0,4,0.858060837,6.130839932
1,20,8,0,2,0.858060837,6.130839932
1,20,18,0,0,0.858060837,6.130839932
0,20,6,7,0,0.858060837,6.130839932
0,20,6,10,0,0.858060837,6.130839932
0,20,14,14,0,0.858060837,6.130839932
0,20,14,8,0,0.858060837,6.130839932
0,20,6,3,0,0.858060837,6.130839932
0,20,6,10,0,0.858060837,6.130839932
0,20,14,14,0,0.858060837,6.130839932
0,20,6,9,0,0.858060837,6.130839932
0,20,13,7,0,0.858060837,6.130839932
0,20,14,7,0,0.858060837,6.130839932
0,20,14,11,0,0.858060837,6.130839932
0,20,14,2,0,0.858060837,6.130839932
0,20,6,3,0,0.858060837,6.130839932
0,20,13,4,0,0.858060837,6.130839932
0,20,6,9,0,0.858060837,6.130839932
0,20,14,11,0,0.858060837,6.130839932
0,20,14,13,0,0.858060837,6.130839932
0,20,6,8,0,0.858060837,6.130839932
0,20,6,2,0,0.858060837,6.130839932
0,20,14,4,0,0.858060837,6.130839932
1,20,12,2,0,1.905985594,0.919808972
1,20,12,2,0,1.905985594,0.919808972
1,20,12,2,0,1.905985594,0.919808972
1,20,12,3,0,1.905985594,0.919808972
1,20,12,6,0,1.905985594,0.919808972
1,20,12,4,0,1.905985594,0.919808972
1,20,12,3,0,1.905985594,0.919808972
1,20,12,3,0,1.905985594,0.919808972
1,20,14,2,0,1.905985594,0.919808972
1,20,12,4,0,1.905985594,0.919808972
1,20,12,0,0,1.905985594,0.919808972
1,20,12,0,0,1.905985594,0.919808972
1,20,12,2,0,1.905985594,0.919808972
1,20,14,2,0,1.905985594,0.919808972
1,20,12,5,0,1.905985594,0.919808972
1,20,12,3,0,1.905985594,0.919808972
1,20,18,0,6,1.905985594,0.919808972
1,20,12,2,0,1.905985594,0.919808972
1,20,12,0,0,1.905985594,0.919808972
1,20,12,0,0,1.905985594,0.919808972
0,20,12,8,0,1.905985594,0.919808972
0,20,12,11,0,1.905985594,0.919808972
0,20,12,11,0,1.905985594,0.919808972
0,20,19,9,0,1.905985594,0.919808972
0,20,14,9,0,1.905985594,0.919808972
0,20,12,8,0,1.905985594,0.919808972
0,20,12,9,0,1.905985594,0.919808972
0,20,12,10,0,1.905985594,0.919808972
0,20,12,12,0,1.905985594,0.919808972
0,20,14,8,0,1.905985594,0.919808972
0,20,14,9,0,1.905985594,0.919808972
0,20,12,9,0,1.905985594,0.919808972
0,20,12,12,0,1.905985594,0.919808972
0,20,12,14,0,1.905985594,0.919808972
0,20,12,8,0,1.905985594,0.919808972
0,20,19,9,0,1.905985594,0.919808972
0,20,12,6,0,1.905985594,0.919808972
0,20,12,7,0,1.905985594,0.919808972
0,20,12,11,0,1.905985594,0.919808972
0,20,14,10,0,1.905985594,0.919808972
1,20,11,0,2,0.705920458,0.882649124
1,20,11,0,3,0.705920458,0.882649124
1,20,9,4,0,0.705920458,0.882649124
1,20,21,0,0,0.705920458,0.882649124
1,20,17,4,0,0.705920458,0.882649124
1,20,9,4,0,0.705920458,0.882649124
1,20,14,0,6,0.705920458,0.882649124
1,20,9,0,1,0.705920458,0.882649124
1,20,12,0,3,0.705920458,0.882649124
1,20,19,0,2,0.705920458,0.882649124
1,20,19,0,2,0.705920458,0.882649124
1,20,11,0,3,0.705920458,0.882649124
1,20,9,1,0,0.705920458,0.882649124
1,20,15,0,6,0.705920458,0.882649124
1,20,9,4,0,0.705920458,0.882649124
1,20,21,1,0,0.705920458,0.882649124
1,20,15,0,7,0.705920458,0.882649124
1,20,11,0,2,0.705920458,0.882649124
1,20,9,2,0,0.705920458,0.882649124
1,20,19,0,2,0.705920458,0.882649124
0,20,8,2,0,0.705920458,0.882649124
0,20,9,8,0,0.705920458,0.882649124
0,20,9,9,0,0.705920458,0.882649124
0,20,9,8,0,0.705920458,0.882649124
0,20,9,8,0,0.705920458,0.882649124
0,20,13,5,0,0.705920458,0.882649124
0,20,9,6,0,0.705920458,0.882649124
0,20,9,4,0,0.705920458,0.882649124
0,20,13,6,0,0.705920458,0.882649124
0,20,13,6,0,0.705920458,0.882649124
0,20,9,11,0,0.705920458,0.882649124
0,20,9,11,0,0.705920458,0.882649124
0,20,9,5,0,0.705920458,0.882649124
0,20,13,5,0,0.705920458,0.882649124
0,20,13,10,0,0.705920458,0.882649124
0,20,17,16,0,0.705920458,0.882649124
0,20,8,6,0,0.705920458,0.882649124
0,20,13,11,0,0.705920458,0.882649124
0,20,17,9,0,0.705920458,0.882649124
0,20,8,6,0,0.705920458,0.882649124
1,20,15,2,0,0.720570803,4.671146655
1,20,9,2,0,0.720570803,4.671146655
1,20,9,1,0,0.720570803,4.671146655
