true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,20,11,0,0,0.72242713,2.896117806
1,20,15,4,0,0.72242713,2.896117806
1,20,11,11,0,0.72242713,2.896117806
1,20,15,12,0,0.72242713,2.896117806
1,20,18,18,0,0.72242713,2.896117806
1,20,18,15,0,0.72242713,2.896117806
1,20,15,8,0,0.72242713,2.896117806
1,20,15,9,0,0.72242713,2.896117806
1,20,12,0,1,0.72242713,2.896117806
1,20,15,9,0,0.72242713,2.896117806
1,20,15,11,0,0.72242713,2.896117806
1,20,11,4,0,0.72242713,2.896117806
1,20,11,10,0,0.72242713,2.896117806
1,20,13,0,2,0.72242713,2.896117806
1,20,18,19,0,0.72242713,2.896117806
1,20,11,0,0,0.72242713,2.896117806
1,20,11,9,0,0.72242713,2.896117806
1,20,11,11,0,0.72242713,2.896117806
1,20,16,0,5,0.72242713,2.896117806
1,20,17,11,0,0.72242713,2.896117806
0,20,15,9,0,0.72242713,2.896117806
0,20,11,8,0,0.72242713,2.896117806
0,20,17,12,0,0.72242713,2.896117806
0,20,15,13,0,0.72242713,2.896117806
0,20,17,12,0,0.72242713,2.896117806
0,20,15,11,0,0.72242713,2.896117806
0,20,11,7,0,0.72242713,2.896117806
0,20,17,10,0,0.72242713,2.896117806
0,20,11,8,0,0.72242713,2.896117806
0,20,11,11,0,0.72242713,2.896117806
0,20,15,13,0,0.72242713,2.896117806
0,20,15,9,0,0.72242713,2.896117806
0,20,11,8,0,0.72242713,2.896117806
0,20,11,9,0,0.72242713,2.896117806
0,20,18,18,0,0.72242713,2.896117806
0,20,15,13,0,0.72242713,2.896117806
0,20,15,10,0,0.72242713,2.896117806
0,20,11,9,0,0.72242713,2.896117806
0,20,18,17,0,0.72242713,2.896117806
0,20,18,10,0,0.72242713,2.896117806
1,20,12,10,0,0.639203787,5.267145026
1,20,12,9,0,0.639203787,5.267145026
1,20,19,0,2,0.639203787,5.267145026
1,20,12,9,0,0.639203787,5.267145026
1,20,17,11,0,0.639203787,5.267145026
1,20,12,7,0,0.639203787,5.267145026
1,20,13,0,0,0.639203787,5.267145026
1,20,17,3,0,0.639203787,5.267145026
1,20,13,6,0,0.639203787,5.267145026
1,20,13,3,0,0.639203787,5.267145026
1,20,12,4,0,0.639203787,5.267145026
1,20,12,15,0,0.639203787,5.267145026
1,20,12,12,0,0.639203787,5.267145026
1,20,13,0,0,0.639203787,5.267145026
1,20,19,10,0,0.639203787,5.267145026
1,20,12,11,0,0.639203787,5.267145026
1,20,12,11,0,0.639203787,5.267145026
1,20,17,0,4,0.639203787,5.267145026
1,20,19,15,0,0.639203787,5.267145026
1,20,19,11,0,0.639203787,5.267145026
0,20,13,7,0,0.639203787,5.267145026
0,20,12,9,0,0.639203787,5.267145026
0,20,13,10,0,0.639203787,5.267145026
0,20,13,10,0,0.639203787,5.267145026
0,20,12,9,0,0.639203787,5.267145026
0,20,12,7,0,0.639203787,5.267145026
0,20,13,0,0,0.639203787,5.267145026
0,20,13,8,0,0.639203787,5.267145026
0,20,13,8,0,0.639203787,5.267145026
