true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,20,24,7,0,0.705196619,5.281292212
1,20,8,1,0,0.705196619,5.281292212
1,20,11,11,0,0.705196619,5.281292212
1,20,8,1,0,0.705196619,5.281292212
1,20,11,0,0,0.705196619,5.281292212
1,20,17,0,3,0.705196619,5.281292212
1,20,17,14,0,0.705196619,5.281292212
1,20,11,5,0,0.705196619,5.281292212
1,20,11,9,0,0.705196619,5.281292212
1,20,8,5,0,0.705196619,5.281292212
1,20,10,0,2,0.705196619,5.281292212
1,20,16,0,2,0.705196619,5.281292212
1,20,9,0,1,0.705196619,5.281292212
1,20,19,0,2,0.705196619,5.281292212
1,20,14,1,0,0.705196619,5.281292212
1,20,17,0,0,0.705196619,5.281292212
1,20,11,0,0,0.705196619,5.281292212
1,20,11,0,3,0.705196619,5.281292212
1,20,12,0,4,0.705196619,5.281292212
1,20,9,0,1,0.705196619,5.281292212
0,20,11,9,0,0.705196619,5.281292212
0,20,14,12,0,0.705196619,5.281292212
0,20,11,11,0,0.705196619,5.281292212
0,20,11,6,0,0.705196619,5.281292212
0,20,11,3,0,0.705196619,5.281292212
0,20,17,10,0,0.705196619,5.281292212
0,20,14,13,0,0.705196619,5.281292212
0,20,17,8,0,0.705196619,5.281292212
0,20,11,12,0,0.705196619,5.281292212
0,20,11,11,0,0.705196619,5.281292212
0,20,8,11,0,0.705196619,5.281292212
0,20,8,10,0,0.705196619,5.281292212
0,20,11,8,0,0.705196619,5.281292212
0,20,8,8,0,0.705196619,5.281292212
0,20,14,11,0,0.705196619,5.281292212
0,20,14,8,0,0.705196619,5.281292212
0,20,14,12,0,0.705196619,5.281292212
0,20,9,0,1,0.705196619,5.281292212
0,20,11,8,0,0.705196619,5.281292212
0,20,8,7,0,0.705196619,5.281292212
1,20,10,0,0,0.646365643,5.243443978
1,20,15,8,0,0.646365643,5.243443978
1,20,10,8,0,0.646365643,5.243443978
1,20,10,6,0,0.646365643,5.243443978
1,20,10,7,0,0.646365643,5.243443978
1,20,12,3,0,0.646365643,5.243443978
1,20,14,9,0,0.646365643,5.243443978
1,20,12,1,0,0.646365643,5.243443978
1,20,10,0,0,0.646365643,5.243443978
1,20,10,1,0,0.646365643,5.243443978
1,20,13,3,0,0.646365643,5.243443978
1,20,16,0,3,0.646365643,5.243443978
1,20,10,0,0,0.646365643,5.243443978
1,20,13,0,0,0.646365643,5.243443978
1,20,23,0,8,0.646365643,5.243443978
1,20,22,0,8,0.646365643,5.243443978
1,20,22,0,8,0.646365643,5.243443978
1,20,15,0,2,0.646365643,5.243443978
1,20,15,0,5,0.646365643,5.243443978
1,20,14,0,1,0.646365643,5.243443978
0,20,12,10,0,0.646365643,5.243443978
0,20,13,10,0,0.646365643,5.243443978
0,20,13,12,0,0.646365643,5.243443978
0,20,14,2,0,0.646365643,5.243443978
0,20,14,7,0,0.646365643,5.243443978
0,20,10,11,0,0.646365643,5.243443978
0,20,12,13,0,0.646365643,5.243443978
0,20,12,14,0,0.646365643,5.243443978
0,20,14,7,0,0.646365643,5.243443978
0,20,12,10,0,0.646365643,5.243443978
