true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,240,16,0,4,0.24951887130737305,2.986054931084315
1,240,23,5,0,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,18,0,2,0.24951887130737305,2.986054931084315
1,240,16,5,0,0.24951887130737305,2.986054931084315
1,240,24,0,1,0.24951887130737305,2.986054931084315
1,240,24,5,0,0.24951887130737305,2.986054931084315
1,240,24,5,0,0.24951887130737305,2.986054931084315
1,240,17,2,0,0.24951887130737305,2.986054931084315
1,240,16,1,0,0.24951887130737305,2.986054931084315
1,240,29,5,0,0.24951887130737305,2.986054931084315
1,240,19,0,3,0.24951887130737305,2.986054931084315
1,240,24,1,0,0.24951887130737305,2.986054931084315
1,240,17,0,1,0.24951887130737305,2.986054931084315
1,240,18,1,0,0.24951887130737305,2.986054931084315
1,240,25,8,0,0.24951887130737305,2.986054931084315
1,240,24,4,0,0.24951887130737305,2.986054931084315
1,240,22,0,0,0.24951887130737305,2.986054931084315
1,240,14,0,1,0.24951887130737305,2.986054931084315
1,240,24,0,0,0.24951887130737305,2.986054931084315
1,240,23,0,0,0.24951887130737305,2.986054931084315
1,240,26,0,1,0.24951887130737305,2.986054931084315
1,240,21,3,0,0.24951887130737305,2.986054931084315
1,240,17,4,0,0.24951887130737305,2.986054931084315
1,240,23,0,0,0.24951887130737305,2.986054931084315
1,240,27,0,4,0.24951887130737305,2.986054931084315
1,240,25,0,2,0.24951887130737305,2.986054931084315
1,240,21,0,1,0.24951887130737305,2.986054931084315
1,240,27,1,0,0.24951887130737305,2.986054931084315
1,240,20,3,0,0.24951887130737305,2.986054931084315
1,240,22,0,0,0.24951887130737305,2.986054931084315
1,240,17,3,0,0.24951887130737305,2.986054931084315
1,240,22,0,4,0.24951887130737305,2.986054931084315
1,240,17,0,5,0.24951887130737305,2.986054931084315
1,240,20,0,0,0.24951887130737305,2.986054931084315
1,240,14,2,0,0.24951887130737305,2.986054931084315
1,240,16,0,3,0.24951887130737305,2.986054931084315
1,240,22,3,0,0.24951887130737305,2.986054931084315
1,240,23,0,0,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,26,0,3,0.24951887130737305,2.986054931084315
1,240,24,4,0,0.24951887130737305,2.986054931084315
1,240,22,0,1,0.24951887130737305,2.986054931084315
1,240,23,0,1,0.24951887130737305,2.986054931084315
1,240,18,0,0,0.24951887130737305,2.986054931084315
1,240,23,0,5,0.24951887130737305,2.986054931084315
1,240,23,0,5,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,15,0,2,0.24951887130737305,2.986054931084315
1,240,12,1,0,0.24951887130737305,2.986054931084315
1,240,16,3,0,0.24951887130737305,2.986054931084315
1,240,21,3,0,0.24951887130737305,2.986054931084315
1,240,16,2,0,0.24951887130737305,2.986054931084315
1,240,27,0,4,0.24951887130737305,2.986054931084315
1,240,23,0,0,0.24951887130737305,2.986054931084315
1,240,23,0,1,0.24951887130737305,2.986054931084315
1,240,27,1,0,0.24951887130737305,2.986054931084315
1,240,17,0,1,0.24951887130737305,2.986054931084315
1,240,17,0,1,0.24951887130737305,2.986054931084315
1,240,19,0,1,0.24951887130737305,2.986054931084315
1,240,23,0,2,0.24951887130737305,2.986054931084315
1,240,13,3,0,0.24951887130737305,2.986054931084315
1,240,30,0,0,0.24951887130737305,2.986054931084315
1,240,22,4,0,0.24951887130737305,2.986054931084315
1,240,23,0,3,0.24951887130737305,2.986054931084315
1,240,9,1,0,0.24951887130737305,2.986054931084315
1,240,25,2,0,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,22,0,1,0.24951887130737305,2.986054931084315
1,240,21,1,0,0.24951887130737305,2.986054931084315
1,240,22,3,0,0.24951887130737305,2.986054931084315
1,240,11,0,2,0.24951887130737305,2.986054931084315
1,240,21,0,1,0.24951887130737305,2.986054931084315
1,240,14,0,1,0.24951887130737305,2.986054931084315
1,240,15,0,2,0.24951887130737305,2.986054931084315
1,240,22,0,1,0.24951887130737305,2.986054931084315
1,240,23,1,0,0.24951887130737305,2.986054931084315
1,240,13,4,0,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,19,0,2,0.24951887130737305,2.986054931084315
1,240,23,0,2,0.24951887130737305,2.986054931084315
1,240,17,0,1,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,22,1,0,0.24951887130737305,2.986054931084315
1,240,18,0,0,0.24951887130737305,2.986054931084315
1,240,12,0,3,0.24951887130737305,2.986054931084315
1,240,23,0,0,0.24951887130737305,2.986054931084315
1,240,19,0,3,0.24951887130737305,2.986054931084315
1,240,22,3,0,0.24951887130737305,2.986054931084315
1,240,18,0,6,0.24951887130737305,2.986054931084315
1,240,22,5,0,0.24951887130737305,2.986054931084315
1,240,26,0,3,0.24951887130737305,2.986054931084315
1,240,17,0,1,0.24951887130737305,2.986054931084315
1,240,20,0,0,0.24951887130737305,2.986054931084315
1,240,22,0,1,0.24951887130737305,2.986054931084315
1,240,20,0,4,0.24951887130737305,2.986054931084315
1,240,13,2,0,0.24951887130737305,2.986054931084315
1,240,20,0,0,0.24951887130737305,2.986054931084315
1,240,13,1,0,0.24951887130737305,2.986054931084315
1,240,24,0,0,0.24951887130737305,2.986054931084315
1,240,22,4,0,0.24951887130737305,2.986054931084315
1,240,22,0,0,0.24951887130737305,2.986054931084315
1,240,21,2,0,0.24951887130737305,2.986054931084315
1,240,18,0,2,0.24951887130737305,2.986054931084315
1,240,27,0,0,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,25,0,2,0.24951887130737305,2.986054931084315
1,240,22,4,0,0.24951887130737305,2.986054931084315
1,240,11,0,2,0.24951887130737305,2.986054931084315
1,240,24,0,0,0.24951887130737305,2.986054931084315
1,240,25,0,2,0.24951887130737305,2.986054931084315
1,240,30,5,0,0.24951887130737305,2.986054931084315
1,240,16,7,0,0.24951887130737305,2.986054931084315
1,240,24,0,3,0.24951887130737305,2.986054931084315
1,240,27,0,3,0.24951887130737305,2.986054931084315
1,240,13,0,0,0.24951887130737305,2.986054931084315
1,240,24,1,0,0.24951887130737305,2.986054931084315
1,240,16,4,0,0.24951887130737305,2.986054931084315
1,240,27,3,0,0.24951887130737305,2.986054931084315
1,240,18,0,2,0.24951887130737305,2.986054931084315
1,240,22,0,2,0.24951887130737305,2.986054931084315
1,240,31,0,1,0.24951887130737305,2.986054931084315
1,240,17,3,0,0.24951887130737305,2.986054931084315
1,240,16,2,0,0.24951887130737305,2.986054931084315
1,240,24,0,2,0.24951887130737305,2.986054931084315
1,240,13,3,0,0.24951887130737305,2.986054931084315
1,240,17,2,0,0.24951887130737305,2.986054931084315
1,240,27,1,0,0.24951887130737305,2.986054931084315
1,240,24,3,0,0.24951887130737305,2.986054931084315
1,240,23,0,1,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,27,1,0,0.24951887130737305,2.986054931084315
1,240,20,2,0,0.24951887130737305,2.986054931084315
1,240,27,0,2,0.24951887130737305,2.986054931084315
1,240,24,2,0,0.24951887130737305,2.986054931084315
1,240,16,1,0,0.24951887130737305,2.986054931084315
1,240,20,7,0,0.24951887130737305,2.986054931084315
1,240,14,0,2,0.24951887130737305,2.986054931084315
1,240,23,2,0,0.24951887130737305,2.986054931084315
1,240,23,2,0,0.24951887130737305,2.986054931084315
1,240,16,5,0,0.24951887130737305,2.986054931084315
1,240,9,2,0,0.24951887130737305,2.986054931084315
1,240,13,5,0,0.24951887130737305,2.986054931084315
1,240,12,2,0,0.24951887130737305,2.986054931084315
1,240,21,0,3,0.24951887130737305,2.986054931084315
1,240,21,2,0,0.24951887130737305,2.986054931084315
1,240,25,1,0,0.24951887130737305,2.986054931084315
1,240,20,0,4,0.24951887130737305,2.986054931084315
1,240,12,1,0,0.24951887130737305,2.986054931084315
1,240,14,0,1,0.24951887130737305,2.986054931084315
1,240,23,1,0,0.24951887130737305,2.986054931084315
1,240,23,3,0,0.24951887130737305,2.986054931084315
1,240,17,2,0,0.24951887130737305,2.986054931084315
1,240,23,2,0,0.24951887130737305,2.986054931084315
1,240,22,0,0,0.24951887130737305,2.986054931084315
1,240,24,3,0,0.24951887130737305,2.986054931084315
1,240,13,0,0,0.24951887130737305,2.986054931084315
1,240,22,2,0,0.24951887130737305,2.986054931084315
1,240,24,2,0,0.24951887130737305,2.986054931084315
1,240,23,0,0,0.24951887130737305,2.986054931084315
1,240,20,1,0,0.24951887130737305,2.986054931084315
1,240,23,2,0,0.24951887130737305,2.986054931084315
