true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,240,33,0,8,0.2138075828552246,2.6814554899930956
1,240,35,0,9,0.2138075828552246,2.6814554899930956
1,240,24,0,6,0.2138075828552246,2.6814554899930956
1,240,33,0,9,0.2138075828552246,2.6814554899930956
1,240,35,0,9,0.2138075828552246,2.6814554899930956
1,240,28,0,3,0.2138075828552246,2.6814554899930956
1,240,33,0,5,0.2138075828552246,2.6814554899930956
1,240,20,1,0,0.2138075828552246,2.6814554899930956
1,240,35,0,11,0.2138075828552246,2.6814554899930956
1,240,28,0,3,0.2138075828552246,2.6814554899930956
1,240,28,3,0,0.2138075828552246,2.6814554899930956
1,240,31,0,11,0.2138075828552246,2.6814554899930956
1,240,15,0,5,0.2138075828552246,2.6814554899930956
1,240,35,0,11,0.2138075828552246,2.6814554899930956
1,240,31,0,7,0.2138075828552246,2.6814554899930956
1,240,23,0,5,0.2138075828552246,2.6814554899930956
1,240,32,0,8,0.2138075828552246,2.6814554899930956
1,240,23,0,5,0.2138075828552246,2.6814554899930956
1,240,31,0,7,0.2138075828552246,2.6814554899930956
1,240,32,0,4,0.2138075828552246,2.6814554899930956
1,240,27,0,2,0.2138075828552246,2.6814554899930956
1,240,28,1,0,0.2138075828552246,2.6814554899930956
1,240,27,0,2,0.2138075828552246,2.6814554899930956
1,240,31,0,7,0.2138075828552246,2.6814554899930956
1,240,28,1,0,0.2138075828552246,2.6814554899930956
1,240,34,0,10,0.2138075828552246,2.6814554899930956
1,240,20,5,0,0.2138075828552246,2.6814554899930956
1,240,35,0,9,0.2138075828552246,2.6814554899930956
1,240,40,0,7,0.2138075828552246,2.6814554899930956
1,240,28,0,8,0.2138075828552246,2.6814554899930956
1,240,27,0,9,0.2138075828552246,2.6814554899930956
1,240,29,0,1,0.2138075828552246,2.6814554899930956
1,240,28,1,0,0.2138075828552246,2.6814554899930956
1,240,22,0,4,0.2138075828552246,2.6814554899930956
1,240,21,0,3,0.2138075828552246,2.6814554899930956
1,240,22,0,4,0.2138075828552246,2.6814554899930956
1,240,25,0,11,0.2138075828552246,2.6814554899930956
1,240,31,0,11,0.2138075828552246,2.6814554899930956
1,240,32,0,8,0.2138075828552246,2.6814554899930956
1,240,38,0,8,0.2138075828552246,2.6814554899930956
