true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,240,6,3,0,0.06650137901306152,1.8811389376719794
1,240,6,7,0,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,6,6,0,0.06650137901306152,1.8811389376719794
1,240,2,0,0,0.06650137901306152,1.8811389376719794
1,240,6,5,0,0.06650137901306152,1.8811389376719794
1,240,4,0,1,0.06650137901306152,1.8811389376719794
1,240,2,0,0,0.06650137901306152,1.8811389376719794
1,240,6,1,0,0.06650137901306152,1.8811389376719794
1,240,7,0,4,0.06650137901306152,1.8811389376719794
1,240,5,0,2,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,6,0,4,0.06650137901306152,1.8811389376719794
1,240,6,0,4,0.06650137901306152,1.8811389376719794
1,240,2,0,0,0.06650137901306152,1.8811389376719794
1,240,8,1,0,0.06650137901306152,1.8811389376719794
1,240,5,0,0,0.06650137901306152,1.8811389376719794
1,240,6,1,0,0.06650137901306152,1.8811389376719794
1,240,7,0,1,0.06650137901306152,1.8811389376719794
1,240,4,0,2,0.06650137901306152,1.8811389376719794
1,240,6,2,0,0.06650137901306152,1.8811389376719794
1,240,8,2,0,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,6,3,0,0.06650137901306152,1.8811389376719794
1,240,7,0,4,0.06650137901306152,1.8811389376719794
1,240,6,0,4,0.06650137901306152,1.8811389376719794
1,240,8,1,0,0.06650137901306152,1.8811389376719794
1,240,3,0,1,0.06650137901306152,1.8811389376719794
1,240,8,0,0,0.06650137901306152,1.8811389376719794
1,240,5,0,3,0.06650137901306152,1.8811389376719794
1,240,6,0,0,0.06650137901306152,1.8811389376719794
1,240,8,0,2,0.06650137901306152,1.8811389376719794
1,240,3,0,0,0.06650137901306152,1.8811389376719794
1,240,8,0,0,0.06650137901306152,1.8811389376719794
1,240,6,3,0,0.06650137901306152,1.8811389376719794
1,240,6,2,0,0.06650137901306152,1.8811389376719794
1,240,4,0,1,0.06650137901306152,1.8811389376719794
1,240,2,0,0,0.06650137901306152,1.8811389376719794
1,240,4,0,2,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,4,0,1,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,5,0,3,0.06650137901306152,1.8811389376719794
1,240,6,0,3,0.06650137901306152,1.8811389376719794
1,240,5,0,3,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,6,1,0,0.06650137901306152,1.8811389376719794
1,240,5,0,2,0.06650137901306152,1.8811389376719794
1,240,5,3,0,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,5,0,3,0.06650137901306152,1.8811389376719794
1,240,7,0,4,0.06650137901306152,1.8811389376719794
1,240,10,3,0,0.06650137901306152,1.8811389376719794
1,240,5,0,2,0.06650137901306152,1.8811389376719794
1,240,3,0,1,0.06650137901306152,1.8811389376719794
1,240,6,4,0,0.06650137901306152,1.8811389376719794
1,240,6,0,0,0.06650137901306152,1.8811389376719794
