true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,1,22,0,2,0.906156301,2.577118158
0,1,12,8,0,0.906156301,2.577118158
1,1,24,0,7,0.766007423,2.273766756
0,1,16,22,0,0.766007423,2.273766756
1,1,21,0,7,0.855141163,3.623470068
0,1,11,12,0,0.855141163,3.623470068
1,1,11,0,7,0.92237711,19.37851906
0,1,12,12,0,0.92237711,19.37851906
1,1,15,0,3,0.844857931,1.677693844
0,1,13,10,0,0.844857931,1.677693844
1,1,20,0,1,2.22713089,16.85845733
0,1,13,12,0,2.22713089,16.85845733
1,1,17,0,5,0.848689079,2.738873243
0,1,12,9,0,0.848689079,2.738873243
1,1,22,0,5,0.745831251,2.467503309
0,1,21,16,0,0.745831251,2.467503309
1,1,20,0,5,0.846699953,1.483161211
0,1,15,12,0,0.846699953,1.483161211
1,1,19,0,0,0.811363935,1.888647079
0,1,19,16,0,0.811363935,1.888647079
1,1,19,0,4,0.974735737,1.728066683
0,1,15,12,0,0.974735737,1.728066683
1,1,16,0,4,0.833303928,4.179432392
0,1,11,12,0,0.833303928,4.179432392
1,1,19,0,6,2.227062941,3.245507956
0,1,21,17,0,2.227062941,3.245507956
1,1,19,0,2,2.504866123,3.886781693
0,1,11,10,0,2.504866123,3.886781693
1,1,16,0,5,0.954124689,2.819355965
0,1,11,12,0,0.954124689,2.819355965
1,1,15,1,0,0.863001347,3.423221111
0,1,14,19,0,0.863001347,3.423221111
1,1,24,4,0,0.964384556,1.944334507
0,1,24,19,0,0.964384556,1.944334507
1,1,13,0,2,2.890296936,10.71339941
0,1,20,17,0,2.890296936,10.71339941
1,1,18,7,0,2.388906717,2.3379457
0,1,18,15,0,2.388906717,2.3379457
1,1,17,0,2,2.384991884,2.432516098
0,1,21,17,0,2.384991884,2.432516098
1,1,21,0,1,0.93913269,3.424039841
0,1,20,15,0,0.93913269,3.424039841
1,1,29,0,8,0.888423681,3.2302742
0,1,16,15,0,0.888423681,3.2302742
1,1,18,2,0,2.444839478,1.543984413
0,1,12,16,0,2.444839478,1.543984413
1,1,18,0,9,2.402597427,1.8331213
0,1,9,13,0,2.402597427,1.8331213
1,1,14,0,7,0.882557392,2.26637578
0,1,20,18,0,0.882557392,2.26637578
1,1,24,0,5,0.832144976,2.433377743
0,1,19,18,0,0.832144976,2.433377743
1,1,20,0,4,0.894111633,3.158683777
0,1,15,14,0,0.894111633,3.158683777
1,1,17,0,3,0.870198965,2.985889912
0,1,19,12,0,0.870198965,2.985889912
1,1,23,0,1,0.79994154,3.433434725
0,1,11,12,0,0.79994154,3.433434725
1,1,18,0,6,0.78762269,3.881323576
0,1,17,11,0,0.78762269,3.881323576
1,1,17,1,0,0.880911589,2.248428106
0,1,17,23,0,0.880911589,2.248428106
1,1,24,0,6,0.787855864,4.948122978
0,1,13,13,0,0.787855864,4.948122978
1,1,19,0,8,0.796826601,3.234941483
0,1,25,16,0,0.796826601,3.234941483
1,1,21,0,2,0.827889442,3.039188862
0,1,19,17,0,0.827889442,3.039188862
1,1,20,0,4,0.76235795,2.83572197
0,1,12,15,0,0.76235795,2.83572197
1,1,16,0,3,0.812186241,1.414148808
0,1,13,11,0,0.812186241,1.414148808
1,1,16,2,0,0.85200429,2.194638968
0,1,13,12,0,0.85200429,2.194638968
1,1,20,0,5,2.264638186,2.811815739
0,1,16,15,0,2.264638186,2.811815739
1,1,15,0,6,0.84956789,1.986699104
0,1,19,11,0,0.84956789,1.986699104
1,1,16,1,0,2.532436371,17.35217428
0,1,12,13,0,2.532436371,17.35217428
1,1,15,0,5,0.931921244,2.460510492
0,1,14,13,0,0.931921244,2.460510492
1,1,20,0,3,0.999947786,1.580825567
0,1,17,20,0,0.999947786,1.580825567
1,1,18,0,2,0.86731267,3.579261065
0,1,22,18,0,0.86731267,3.579261065
1,1,28,0,6,0.866074562,4.348300219
0,1,17,13,0,0.866074562,4.348300219
1,1,19,1,0,0.876714945,2.714293242
0,1,15,21,0,0.876714945,2.714293242
1,1,12,1,0,2.339876175,2.256856203
0,1,11,14,0,2.339876175,2.256856203
1,1,11,1,0,2.302172661,2.814336777
0,1,21,18,0,2.302172661,2.814336777
1,1,25,0,6,0.910118103,5.834336042
0,1,14,14,0,0.910118103,5.834336042
1,1,18,0,0,2.40852499,2.558648586
0,1,15,17,0,2.40852499,2.558648586
1,1,19,0,8,0.762197971,3.134255409
0,1,22,17,0,0.762197971,3.134255409
1,1,16,0,3,0.923816442,4.243895769
0,1,11,16,0,0.923816442,4.243895769
1,1,18,1,0,0.900491714,2.703962088
0,1,19,10,0,0.900491714,2.703962088
1,1,11,0,3,0.870471239,0.846486092
0,1,8,8,0,0.870471239,0.846486092
1,1,19,0,2,0.896764517,4.019026041
0,1,13,12,0,0.896764517,4.019026041
1,1,11,0,0,2.388170481,0.853778601
0,1,11,8,0,2.388170481,0.853778601
1,1,17,0,2,0.796611071,1.741153479
0,1,17,12,0,0.796611071,1.741153479
1,1,19,0,8,0.751793385,2.503857374
0,1,12,16,0,0.751793385,2.503857374
1,1,15,0,0,0.826628447,1.714546919
0,1,15,15,0,0.826628447,1.714546919
1,1,20,0,9,0.868337154,2.825954437
0,1,26,21,0,0.868337154,2.825954437
1,1,19,0,3,0.88120985,2.474888325
0,1,16,13,0,0.88120985,2.474888325
1,1,19,0,7,0.961818457,2.811159611
0,1,12,13,0,0.961818457,2.811159611
1,1,24,0,4,0.792734146,2.245390415
0,1,15,13,0,0.792734146,2.245390415
1,1,15,0,3,0.884613991,3.312942028
0,1,12,11,0,0.884613991,3.312942028
1,1,15,0,5,0.815147638,3.436233521
0,1,13,12,0,0.815147638,3.436233521
1,1,15,1,0,2.348953009,2.766250372
0,1,8,7,0,2.348953009,2.766250372
1,1,20,0,8,0.88126564,3.857036829
0,1,12,15,0,0.88126564,3.857036829
1,1,11,0,1,0.866780043,1.748747587
0,1,10,6,0,0.866780043,1.748747587
1,1,13,0,1,0.803916693,1.426499367
0,1,12,15,0,0.803916693,1.426499367
1,1,16,0,4,0.844819546,3.699622631
0,1,15,13,0,0.844819546,3.699622631
1,1,16,0,5,0.859447241,4.08070302
0,1,10,11,0,0.859447241,4.08070302
1,1,20,0,5,0.82699275,2.075524092
0,1,18,18,0,0.82699275,2.075524092
1,1,20,5,0,0.826068878,2.579831362
0,1,20,21,0,0.826068878,2.579831362
1,1,20,1,0,0.850809574,2.893001795
0,1,14,14,0,0.850809574,2.893001795
1,1,16,0,0,0.886726618,3.926979542
0,1,15,14,0,0.886726618,3.926979542
1,1,20,0,3,0.921405792,2.324175596
0,1,16,19,0,0.921405792,2.324175596
1,1,23,0,6,0.743810177,2.205994129
0,1,19,14,0,0.743810177,2.205994129
1,1,20,0,8,0.846520662,3.362761021
0,1,18,17,0,0.846520662,3.362761021
1,1,24,0,11,0.944648981,3.356418133
0,1,19,14,0,0.944648981,3.356418133
1,1,19,0,2,0.790137291,2.262732506
0,1,17,11,0,0.790137291,2.262732506
1,1,21,0,8,0.812755108,2.402407408
0,1,21,7,0,0.812755108,2.402407408
1,1,22,0,7,0.931383848,3.078692436
0,1,16,15,0,0.931383848,3.078692436
1,1,14,0,1,0.899841785,3.102979898
0,1,10,11,0,0.899841785,3.102979898
1,1,21,0,6,0.892673016,2.222351313
0,1,18,19,0,0.892673016,2.222351313
1,1,18,0,3,0.765901804,3.956953764
0,1,12,9,0,0.765901804,3.956953764
1,1,20,0,8,0.752227783,1.667565823
0,1,12,7,0,0.752227783,1.667565823
1,1,17,0,0,0.798567057,1.654164076
0,1,17,18,0,0.798567057,1.654164076
1,1,20,0,1,0.850399017,1.703626394
0,1,19,19,0,0.850399017,1.703626394
1,1,14,0,0,2.2983675,1.100525141
0,1,14,12,0,2.2983675,1.100525141
1,1,19,0,7,0.851951361,2.937444448
0,1,16,16,0,0.851951361,2.937444448
1,1,23,0,5,0.792722464,4.060830832
0,1,18,17,0,0.792722464,4.060830832
1,1,21,0,4,0.885708809,3.073236942
0,1,16,19,0,0.885708809,3.073236942
1,1,24,0,7,0.853050709,2.700443268
0,1,17,14,0,0.853050709,2.700443268
1,1,25,0,2,0.773558855,2.782455206
0,1,22,17,0,0.773558855,2.782455206
1,1,24,0,4,0.696230412,4.149701834
0,1,12,14,0,0.696230412,4.149701834
1,1,24,0,6,0.894638777,3.307135105
0,1,14,11,0,0.894638777,3.307135105
1,1,23,0,8,0.752289057,3.380553007
0,1,22,17,0,0.752289057,3.380553007
1,1,25,0,1,0.864606142,4.06117177
0,1,16,14,0,0.864606142,4.06117177
1,1,18,0,6,0.767051458,2.554075003
0,1,12,12,0,0.767051458,2.554075003
1,1,17,0,4,0.877164841,1.794755697
0,1,13,7,0,0.877164841,1.794755697
1,1,22,0,8,0.877744675,2.747695208
0,1,25,19,0,0.877744675,2.747695208
1,1,21,0,4,0.94620347,1.625086308
0,1,17,8,0,0.94620347,1.625086308
1,1,21,0,6,0.772676468,1.827470541
0,1,15,15,0,0.772676468,1.827470541
1,1,18,0,4,2.136763573,2.871752977
0,1,12,11,0,2.136763573,2.871752977
1,1,15,0,6,0.811966658,2.511652946
0,1,16,10,0,0.811966658,2.511652946
1,1,17,0,8,0.74482131,2.786122322
0,1,8,12,0,0.74482131,2.786122322
1,1,18,1,0,0.91565609,2.293384314
0,1,18,13,0,0.91565609,2.293384314
1,1,15,0,1,0.890634537,3.271941185
0,1,10,10,0,0.890634537,3.271941185
1,1,16,0,2,0.766845226,1.51455164
0,1,14,18,0,0.766845226,1.51455164
1,1,18,0,0,0.814085484,2.949398279
0,1,13,14,0,0.814085484,2.949398279
1,1,17,0,6,0.75581193,1.879720688
0,1,11,15,0,0.75581193,1.879720688
1,1,17,0,0,0.860862732,1.854571342
0,1,17,15,0,0.860862732,1.854571342
1,1,13,0,3,0.846553564,1.658109188
0,1,10,11,0,0.846553564,1.658109188
1,1,20,0,11,0.791043758,2.593637705
0,1,25,23,0,0.791043758,2.593637705
1,1,18,0,0,0.822462559,2.057711601
0,1,16,14,0,0.822462559,2.057711601
1,1,8,1,0,2.368739605,1.950568438
0,1,19,11,0,2.368739605,1.950568438
1,1,17,0,2,0.872998476,3.93182826
0,1,10,5,0,0.872998476,3.93182826
1,1,19,0,2,0.83536768,3.196784973
0,1,19,15,0,0.83536768,3.196784973
1,1,14,0,4,0.907079935,2.657611609
0,1,20,17,0,0.907079935,2.657611609
1,1,21,0,1,2.361173391,2.619413137
0,1,18,17,0,2.361173391,2.619413137
1,1,21,0,9,0.823805094,2.684813738
0,1,12,17,0,0.823805094,2.684813738
