true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
0,20,13,2,0,0.672195196,4.894185221
0,20,15,7,0,0.672195196,4.894185221
0,20,13,5,0,0.672195196,4.894185221
0,20,13,13,0,0.672195196,4.894185221
0,20,11,4,0,0.672195196,4.894185221
0,20,13,6,0,0.672195196,4.894185221
0,20,13,9,0,0.672195196,4.894185221
0,20,13,6,0,0.672195196,4.894185221
0,20,11,2,0,0.672195196,4.894185221
0,20,7,1,0,0.672195196,4.894185221
0,20,13,4,0,0.672195196,4.894185221
0,20,19,10,0,0.672195196,4.894185221
0,20,7,4,0,0.672195196,4.894185221
0,20,7,5,0,0.672195196,4.894185221
0,20,13,3,0,0.672195196,4.894185221
0,20,11,4,0,0.672195196,4.894185221
0,20,13,4,0,0.672195196,4.894185221
0,20,7,8,0,0.672195196,4.894185221
0,20,11,6,0,0.672195196,4.894185221
0,20,7,5,0,0.672195196,4.894185221
0,20,8,9,0,0.715137482,4.13539151
0,20,8,5,0,0.715137482,4.13539151
0,20,8,7,0,0.715137482,4.13539151
0,20,13,5,0,0.715137482,4.13539151
0,20,15,10,0,0.715137482,4.13539151
0,20,13,11,0,0.715137482,4.13539151
0,20,15,4,0,0.715137482,4.13539151
0,20,8,0,0,0.715137482,4.13539151
0,20,17,7,0,0.715137482,4.13539151
0,20,15,3,0,0.715137482,4.13539151
0,20,15,10,0,0.715137482,4.13539151
0,20,15,12,0,0.715137482,4.13539151
0,20,8,4,0,0.715137482,4.13539151
0,20,15,8,0,0.715137482,4.13539151
0,20,8,4,0,0.715137482,4.13539151
0,20,15,8,0,0.715137482,4.13539151
0,20,18,7,0,0.715137482,4.13539151
0,20,15,13,0,0.715137482,4.13539151
0,20,15,13,0,0.715137482,4.13539151
0,20,13,6,0,0.715137482,4.13539151
0,20,14,13,0,0.796373844,4.398935628
0,20,14,6,0,0.796373844,4.398935628
0,20,14,4,0,0.796373844,4.398935628
0,20,14,9,0,0.796373844,4.398935628
0,20,10,10,0,0.796373844,4.398935628
0,20,10,7,0,0.796373844,4.398935628
0,20,11,8,0,0.796373844,4.398935628
0,20,11,8,0,0.796373844,4.398935628
0,20,11,4,0,0.796373844,4.398935628
0,20,11,7,0,0.796373844,4.398935628
0,20,11,6,0,0.796373844,4.398935628
0,20,11,12,0,0.796373844,4.398935628
0,20,11,5,0,0.796373844,4.398935628
0,20,19,15,0,0.796373844,4.398935628
0,20,11,7,0,0.796373844,4.398935628
0,20,11,3,0,0.796373844,4.398935628
0,20,11,5,0,0.796373844,4.398935628
0,20,14,9,0,0.796373844,4.398935628
0,20,11,5,0,0.796373844,4.398935628
0,20,11,2,0,0.796373844,4.398935628
0,20,11,9,0,0.751900434,4.142694235
0,20,11,4,0,0.751900434,4.142694235
0,20,11,5,0,0.751900434,4.142694235
0,20,9,14,0,0.751900434,4.142694235
0,20,14,14,0,0.751900434,4.142694235
0,20,11,5,0,0.751900434,4.142694235
0,20,14,12,0,0.751900434,4.142694235
0,20,11,5,0,0.751900434,4.142694235
0,20,11,4,0,0.751900434,4.142694235
0,20,11,13,0,0.751900434,4.142694235
0,20,14,9,0,0.751900434,4.142694235
0,20,14,13,0,0.751900434,4.142694235
0,20,11,8,0,0.751900434,4.142694235
0,20,14,7,0,0.751900434,4.142694235
0,20,21,10,0,0.751900434,4.142694235
0,20,11,8,0,0.751900434,4.142694235
0,20,11,7,0,0.751900434,4.142694235
0,20,11,7,0,0.751900434,4.142694235
0,20,14,11,0,0.751900434,4.142694235
0,20,14,10,0,0.751900434,4.142694235
0,20,18,16,0,0.786984444,4.342939508
0,20,12,6,0,0.786984444,4.342939508
0,20,10,7,0,0.786984444,4.342939508
0,20,12,13,0,0.786984444,4.342939508
0,20,18,7,0,0.786984444,4.342939508
0,20,12,9,0,0.786984444,4.342939508
0,20,12,13,0,0.786984444,4.342939508
0,20,18,10,0,0.786984444,4.342939508
0,20,12,7,0,0.786984444,4.342939508
0,20,12,10,0,0.786984444,4.342939508
0,20,12,5,0,0.786984444,4.342939508
0,20,10,6,0,0.786984444,4.342939508
0,20,12,10,0,0.786984444,4.342939508
0,20,18,13,0,0.786984444,4.342939508
0,20,10,9,0,0.786984444,4.342939508
0,20,18,17,0,0.786984444,4.342939508
0,20,12,12,0,0.786984444,4.342939508
0,20,10,4,0,0.786984444,4.342939508
0,20,10,7,0,0.786984444,4.342939508
0,20,12,13,0,0.786984444,4.342939508
0,20,11,11,0,0.814547539,4.55114007
0,20,11,9,0,0.814547539,4.55114007
0,20,15,8,0,0.814547539,4.55114007
0,20,15,10,0,0.814547539,4.55114007
0,20,11,9,0,0.814547539,4.55114007
0,20,13,10,0,0.814547539,4.55114007
0,20,16,5,0,0.814547539,4.55114007
0,20,15,11,0,0.814547539,4.55114007
0,20,11,6,0,0.814547539,4.55114007
0,20,15,8,0,0.814547539,4.55114007
0,20,11,2,0,0.814547539,4.55114007
0,20,11,8,0,0.814547539,4.55114007
0,20,11,9,0,0.814547539,4.55114007
0,20,11,5,0,0.814547539,4.55114007
0,20,16,6,0,0.814547539,4.55114007
0,20,11,8,0,0.814547539,4.55114007
0,20,14,0,3,0.814547539,4.55114007
0,20,15,9,0,0.814547539,4.55114007
0,20,11,1,0,0.814547539,4.55114007
0,20,15,6,0,0.814547539,4.55114007
0,20,10,2,0,0.832988977,5.527674174
0,20,12,2,0,0.832988977,5.527674174
0,20,12,5,0,0.832988977,5.527674174
0,20,15,0,5,0.832988977,5.527674174
0,20,12,6,0,0.832988977,5.527674174
0,20,12,7,0,0.832988977,5.527674174
0,20,12,8,0,0.832988977,5.527674174
0,20,12,3,0,0.832988977,5.527674174
0,20,12,7,0,0.832988977,5.527674174
0,20,10,1,0,0.832988977,5.527674174
0,20,12,6,0,0.832988977,5.527674174
0,20,13,0,3,0.832988977,5.527674174
