true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,20,18,10,0,1.987051249,1.274304903
1,20,17,9,0,1.987051249,1.274304903
1,20,16,11,0,1.987051249,1.274304903
1,20,15,13,0,1.987051249,1.274304903
1,20,15,0,2,1.987051249,1.274304903
1,20,13,0,2,1.987051249,1.274304903
1,20,13,4,0,1.987051249,1.274304903
1,20,13,0,0,1.987051249,1.274304903
1,20,17,1,0,1.987051249,1.274304903
1,20,17,9,0,1.987051249,1.274304903
1,20,14,0,1,1.987051249,1.274304903
1,20,17,6,0,1.987051249,1.274304903
1,20,15,0,2,1.987051249,1.274304903
1,20,13,0,2,1.987051249,1.274304903
1,20,13,1,0,1.987051249,1.274304903
1,20,13,0,0,1.987051249,1.274304903
1,20,17,0,1,1.987051249,1.274304903
1,20,18,0,1,1.987051249,1.274304903
1,20,15,0,4,1.987051249,1.274304903
1,20,23,0,6,1.987051249,1.274304903
0,20,15,7,0,1.987051249,1.274304903
0,20,11,6,0,1.987051249,1.274304903
0,20,13,5,0,1.987051249,1.274304903
0,20,17,9,0,1.987051249,1.274304903
0,20,11,12,0,1.987051249,1.274304903
0,20,15,14,0,1.987051249,1.274304903
0,20,17,9,0,1.987051249,1.274304903
0,20,11,7,0,1.987051249,1.274304903
0,20,13,8,0,1.987051249,1.274304903
0,20,17,8,0,1.987051249,1.274304903
0,20,11,10,0,1.987051249,1.274304903
0,20,16,11,0,1.987051249,1.274304903
0,20,13,15,0,1.987051249,1.274304903
0,20,11,8,0,1.987051249,1.274304903
0,20,13,8,0,1.987051249,1.274304903
0,20,13,7,0,1.987051249,1.274304903
0,20,17,2,0,1.987051249,1.274304903
0,20,13,9,0,1.987051249,1.274304903
0,20,13,10,0,1.987051249,1.274304903
0,20,17,7,0,1.987051249,1.274304903
1,20,18,10,0,0.717678308,3.223813522
1,20,15,0,0,0.717678308,3.223813522
1,20,15,0,0,0.717678308,3.223813522
1,20,10,7,0,0.717678308,3.223813522
1,20,16,0,1,0.717678308,3.223813522
1,20,18,14,0,0.717678308,3.223813522
1,20,10,7,0,0.717678308,3.223813522
1,20,16,0,1,0.717678308,3.223813522
1,20,15,1,0,0.717678308,3.223813522
1,20,10,7,0,0.717678308,3.223813522
1,20,16,0,1,0.717678308,3.223813522
1,20,11,10,0,0.717678308,3.223813522
1,20,15,3,0,0.717678308,3.223813522
1,20,18,0,3,0.717678308,3.223813522
1,20,15,2,0,0.717678308,3.223813522
1,20,15,1,0,0.717678308,3.223813522
1,20,16,0,6,0.717678308,3.223813522
1,20,17,0,2,0.717678308,3.223813522
1,20,17,0,2,0.717678308,3.223813522
1,20,16,0,6,0.717678308,3.223813522
0,20,15,10,0,0.717678308,3.223813522
0,20,18,16,0,0.717678308,3.223813522
0,20,15,13,0,0.717678308,3.223813522
0,20,15,11,0,0.717678308,3.223813522
0,20,11,11,0,0.717678308,3.223813522
0,20,15,7,0,0.717678308,3.223813522
0,20,15,10,0,0.717678308,3.223813522
0,20,15,11,0,0.717678308,3.223813522
0,20,15,3,0,0.717678308,3.223813522
0,20,15,5,0,0.717678308,3.223813522
0,20,10,6,0,0.717678308,3.223813522
0,20,15,5,0,0.717678308,3.223813522
0,20,15,12,0,0.717678308,3.223813522
0,20,11,13,0,0.717678308,3.223813522
0,20,18,9,0,0.717678308,3.223813522
0,20,11,7,0,0.717678308,3.223813522
0,20,15,7,0,0.717678308,3.223813522
0,20,15,8,0,0.717678308,3.223813522
0,20,15,12,0,0.717678308,3.223813522
0,20,15,7,0,0.717678308,3.223813522
1,20,13,0,0,0.694099188,3.552358806
1,20,13,16,0,0.694099188,3.552358806
1,20,14,0,1,0.694099188,3.552358806
1,20,13,3,0,0.694099188,3.552358806
1,20,16,14,0,0.694099188,3.552358806
1,20,15,1,0,0.694099188,3.552358806
1,20,15,0,0,0.694099188,3.552358806
1,20,13,2,0,0.694099188,3.552358806
1,20,18,0,3,0.694099188,3.552358806
1,20,15,0,0,0.694099188,3.552358806
1,20,17,13,0,0.694099188,3.552358806
1,20,17,0,2,0.694099188,3.552358806
1,20,13,0,0,0.694099188,3.552358806
1,20,16,13,0,0.694099188,3.552358806
1,20,13,10,0,0.694099188,3.552358806
1,20,16,3,0,0.694099188,3.552358806
1,20,15,1,0,0.694099188,3.552358806
1,20,15,4,0,0.694099188,3.552358806
1,20,13,5,0,0.694099188,3.552358806
1,20,17,0,4,0.694099188,3.552358806
0,20,13,11,0,0.694099188,3.552358806
0,20,15,11,0,0.694099188,3.552358806
0,20,16,11,0,0.694099188,3.552358806
0,20,15,10,0,0.694099188,3.552358806
0,20,15,9,0,0.694099188,3.552358806
0,20,15,11,0,0.694099188,3.552358806
0,20,17,16,0,0.694099188,3.552358806
0,20,13,8,0,0.694099188,3.552358806
0,20,16,15,0,0.694099188,3.552358806
0,20,15,13,0,0.694099188,3.552358806
0,20,13,8,0,0.694099188,3.552358806
0,20,15,8,0,0.694099188,3.552358806
0,20,17,16,0,0.694099188,3.552358806
0,20,16,14,0,0.694099188,3.552358806
0,20,13,10,0,0.694099188,3.552358806
0,20,16,9,0,0.694099188,3.552358806
0,20,17,11,0,0.694099188,3.552358806
0,20,26,14,0,0.694099188,3.552358806
0,20,17,12,0,0.694099188,3.552358806
0,20,15,9,0,0.694099188,3.552358806
1,20,9,0,1,0.747293472,3.39544934
1,20,15,5,0,0.747293472,3.39544934
1,20,16,14,0,0.747293472,3.39544934
1,20,15,3,0,0.747293472,3.39544934
1,20,15,3,0,0.747293472,3.39544934
1,20,15,5,0,0.747293472,3.39544934
1,20,13,11,0,0.747293472,3.39544934
1,20,8,2,0,0.747293472,3.39544934
1,20,16,12,0,0.747293472,3.39544934
1,20,15,1,0,0.747293472,3.39544934
1,20,11,0,3,0.747293472,3.39544934
1,20,15,1,0,0.747293472,3.39544934
